SY
1490
16
happy;elated;excited;alert;tense;nervous;stressed;upset;sad;unhappy;depressed;bored;calm;relaxed;serene;contented
5b44267a1f22a65c247a2e9fExcitado;0:0.30247984992;1:0.31496985141;2:0.318109095936;3:0.310757652219;4:0.27662684911;5:0.257835217019;6:0.24124384342;7:0.227748635682;8:0.210607382038;9:0.20674766089;10:0.205878422165;11:0.207974126816;12:0.221367162529;13:0.232920835398;14:0.247747537629;15:0.265413280777;0.0
5b4428aa1f22a65d1b12a33fExaltado;0:0.368134981399;1:0.388485897764;2:0.378215910787;3:0.344269747196;4:0.268051645187;5:0.239629683589;6:0.218355527941;7:0.203088603255;8:0.186641378562;9:0.184241162123;10:0.185392365186;11:0.190180473676;12:0.212391308782;13:0.231429730987;14:0.25724010525;15:0.290616837835;0.0
5b4428aa1f22a65d1b12a349Exaltado;0:0.31128423635;1:0.319399474684;2:0.316768804322;3:0.304366359726;4:0.266632118667;5:0.248538619295;6:0.233333081114;7:0.221463921139;8:0.207597004535;9:0.205318925771;10:0.206030129739;11:0.209752545374;12:0.226701244146;13:0.240179536831;14:0.256862496946;15:0.2759215053;0.0
5b4428b01f22a65d36385395Feliz;0:0.281723689785;1:0.281535081619;2:0.27751233567;3:0.270480856398;4:0.252451471645;5:0.24375007407;6:0.236292085519;7:0.230493020326;8:0.224644414736;9:0.224740198357;10:0.226860840009;11:0.230961807742;12:0.244525817015;13:0.253313592479;14:0.262568340936;15:0.271239281146;0.0
5b44267a1f22a65c247a2e93Exaltado;0:0.695750003488;1:0.73386810536;2:0.516617111181;3:0.363916028928;4:0.227857502347;5:0.196039533802;6:0.175374789168;7:0.161997517998;8:0.149847390503;9:0.149496960829;10:0.152758077073;11:0.160025684008;12:0.191249388476;13:0.220430570116;14:0.266432812033;15:0.343083397975;0.0
5b4428a71f22a65d114253fcExaltado;0:0.334979261253;1:0.343831529369;2:0.335944040602;3:0.315001201493;4:0.263390981661;5:0.241761573213;6:0.224666880742;7:0.21196185669;8:0.198139501234;9:0.196400845991;10:0.197941000855;11:0.202837495701;12:0.223780203935;13:0.240601339435;14:0.26196540433;15:0.287176742745;0.0
5b4428a71f22a65d114253feExcitado;0:0.286221077367;1:0.29288361527;2:0.294001620534;3:0.289280337545;4:0.267955467155;5:0.255396795216;6:0.243718903606;7:0.233804330653;8:0.220764311645;9:0.217868639926;10:0.217412502139;11:0.219395559822;12:0.230648450584;13:0.239772661077;14:0.250866416733;15:0.263234649331;0.0
5b4428a71f22a65d11425401Excitado;0:0.325864707267;1:0.349569705888;2:0.356792947006;3:0.343697107151;4:0.286596472175;5:0.258969456998;6:0.236396626748;7:0.219089265382;8:0.198189499173;9:0.193554534004;10:0.192376223262;11:0.194585275746;12:0.209881166728;13:0.223801276191;14:0.242666195761;15:0.266853305141;0.0
5b4428a71f22a65d11425406Feliz;0:0.621894785222;1:0.444708692117;2:0.328793393492;3:0.260321087103;4:0.19078155827;5:0.172925632419;6:0.161474422734;7:0.154806698555;8:0.152980530567;9:0.157605186385;10:0.166516735983;11:0.180897542382;12:0.236751695607;13:0.290203190944;14:0.378975037644;15:0.527942017411;0.0
5b4428a71f22a65d11425408Feliz;0:0.392539460309;1:0.3653835805;2:0.32384673724;3:0.283710374366;4:0.226183137726;5:0.208133089099;6:0.195592398641;7:0.187603267546;8:0.183110613399;9:0.186261504768;10:0.193241456238;11:0.204590734459;12:0.244212501932;13:0.274929098442;14:0.313498264479;15:0.3557575057;0.0
5b4428a71f22a65d11425411Exaltado;0:0.34261045372;1:0.352898791358;2:0.343937552585;3:0.320267200877;4:0.263741199035;5:0.240741033437;6:0.222811739955;7:0.209614522623;8:0.195358962382;9:0.193559332924;10:0.195114805459;11:0.200112916058;12:0.221703149108;13:0.239273237254;14:0.26190806019;15:0.28913428988;0.0
5b4428a71f22a65d11425414Feliz;0:0.454651258187;1:0.414415968002;2:0.35085461789;3:0.294692314144;4:0.222676646817;5:0.20169518189;6:0.187398678702;7:0.1782666291;8:0.17228004527;9:0.17485493186;10:0.181349810905;11:0.192396506285;12:0.233363710017;13:0.26775448259;14:0.31536501963;15:0.376283819944;0.0
5b4428a71f22a65d11425419Exaltado;0:0.366031701485;1:0.370725925293;2:0.35113146243;3:0.318041183962;4:0.254085655568;5:0.230824178577;6:0.213464619961;7:0.201174221136;8:0.189048300333;9:0.188416974274;10:0.191272297215;11:0.197804719594;12:0.223860483153;13:0.244884529138;14:0.272179219518;15:0.305206330389;0.0
5b4428a71f22a65d1142541dFeliz;0:0.337688806269;1:0.336985837972;2:0.321821610681;3:0.298348490754;4:0.250729751073;5:0.232225065281;6:0.218016477988;7:0.207838125525;8:0.198225878244;9:0.19836866687;10:0.201769395266;11:0.208585277014;12:0.233686715748;13:0.252572284696;14:0.275449500011;15:0.300571289186;0.0
5b4428a71f22a65d1142541eFeliz;0:0.39251624589;1:0.353605603337;2:0.30836851204;3:0.269192618382;4:0.216508232609;5:0.200622501119;6:0.189935537332;7:0.183570621922;8:0.182051869148;9:0.186776128739;10:0.195564961748;11:0.209137483561;12:0.255404506304;13:0.290890826686;14:0.334387361496;15:0.378294562072;0.0
5b4428a71f22a65d11425423Excitado;0:0.302431331921;1:0.317110588406;2:0.322292233448;3:0.316027879951;4:0.280878331492;5:0.260889897132;6:0.243139218152;7:0.228644249481;8:0.209992570492;9:0.205558980114;10:0.204195146334;11:0.205856049549;12:0.218556050681;13:0.22991017446;14:0.244742350795;15:0.262775245749;0.0
