SY
3601
16
happy;elated;excited;alert;tense;nervous;stressed;upset;sad;unhappy;depressed;bored;calm;relaxed;serene;contented
5b44267a1f22a65c247a2ea0Sereno;0:0.221278478824;1:0.245978847287;2:0.279320806558;3:0.32181621257;4:0.403808624087;5:0.404359235405;6:0.370016928128;7:0.323080835936;8:0.246766789631;9:0.221851565664;10:0.204005553061;11:0.191778582988;12:0.180444104427;13:0.18039509474;14:0.183986534442;15:0.191513072884;0.0
5b44267a1f22a65c247a2e9eFeliz;0:0.349565092417;1:0.337835616422;2:0.313483915819;3:0.285278129044;4:0.23749936805;5:0.220725897089;6:0.208483576377;7:0.200281805404;8:0.194549642648;9:0.19671376975;10:0.202327392182;11:0.211683532242;12:0.243429736351;13:0.26651518858;14:0.29364593369;15:0.321507225814;0.0
5b44284f1f22a65c988bc29cAlerta;0:0.28350830212;1:0.343192997977;2:0.420385716396;3:0.486603845967;4:0.409830354517;5:0.334260640534;6:0.27712850896;7:0.237240792543;8:0.191010124882;9:0.178572289775;10:0.171017736013;11:0.167537497229;12:0.171760887314;13:0.179896079625;14:0.193061697087;15:0.212801089064;0.0
5b4428aa1f22a65d1b12a338Alerta;0:0.295257123311;1:0.345012316309;2:0.397028603628;3:0.42636179168;4:0.361290828327;5:0.309307940808;6:0.266729067851;7:0.234928866493;8:0.196020380033;9:0.185390788561;10:0.17916529011;11:0.176789592811;12:0.183077295628;13:0.192293791271;14:0.206546188685;15:0.227169224735;0.0
5b4428aa1f22a65d1b12a339Tenso;0:0.339125860857;1:0.31028341906;2:0.279825530886;3:0.253068472535;4:0.215427823308;5:0.203884342997;6:0.196418730467;7:0.192609032081;8:0.195261446079;9:0.201880365834;10:0.212466705912;11:0.227573072387;12:0.27342613478;13:0.303353706158;14:0.333271689552;15:0.354266517381;0.0
5b4428aa1f22a65d1b12a33bAlerta;0:0.286989483744;1:0.345112664324;2:0.416946728546;3:0.473055921056;4:0.397176050736;5:0.327731971846;6:0.27427345525;7:0.236370580233;8:0.191900849305;9:0.179895566524;10:0.172660617301;11:0.169448894029;12:0.174191280157;13:0.182617160205;14:0.19610532921;15:0.216179974435;0.0
5b4428aa1f22a65d1b12a33cFeliz;0:0.406887463293;1:0.382461960414;2:0.337805364552;3:0.293200690346;4:0.229360763118;5:0.209451839063;6:0.195557478591;7:0.186522638579;8:0.180372409541;9:0.18275476511;10:0.188935694514;11:0.199423848903;12:0.237236255838;13:0.267428450309;14:0.306738095847;15:0.352809674658;0.0
5b4428aa1f22a65d1b12a33dAlerta;0:0.310700009933;1:0.362443232227;2:0.409845863325;3:0.424697530443;4:0.342799122829;5:0.293683182005;6:0.25501888694;7:0.22653569578;8:0.192142438714;9:0.183084018688;10:0.178196202929;11:0.177049944215;12:0.185901550667;13:0.19667938832;14:0.212866678582;15:0.235968904351;0.0
5b4428aa1f22a65d1b12a33eAlerta;0:0.276202035724;1:0.285469089109;2:0.290736018774;3:0.290745576077;4:0.276239081438;5:0.264852350109;6:0.253109775202;7:0.242303495738;8:0.226232435041;9:0.221535702387;10:0.219178776659;11:0.21917468216;12:0.2262120845;13:0.2331836895;14:0.242268574467;15:0.253069970975;0.0
5b4428aa1f22a65d1b12a342Alerta;0:0.284256075788;1:0.343854813693;2:0.420401356556;3:0.484989402367;4:0.407650760344;5:0.33300851454;6:0.276484369971;7:0.236944800311;8:0.191044796884;9:0.178693896464;10:0.171205355408;11:0.167781346643;12:0.172114544658;13:0.180313067169;14:0.193553107783;15:0.213380369862;0.0
5b4428aa1f22a65d1b12a343Alerta;0:0.28350830212;1:0.343192997977;2:0.420385716396;3:0.486603845967;4:0.409830354517;5:0.334260640534;6:0.27712850896;7:0.237240792543;8:0.191010124882;9:0.178572289775;10:0.171017736013;11:0.167537497229;12:0.171760887314;13:0.179896079625;14:0.193061697087;15:0.212801089064;0.0
5b4428aa1f22a65d1b12a345Excitado;0:0.346480679066;1:0.388721646617;2:0.406348947914;3:0.38633998867;4:0.298289168128;5:0.260907276563;6:0.232485324798;7:0.211761737302;8:0.187619022988;9:0.182209003608;10:0.180533396331;11:0.182457068066;12:0.19803193088;13:0.212967977404;14:0.234167483121;15:0.263173386622;0.0
5b4428aa1f22a65d1b12a348Alerta;0:0.292117487558;1:0.351431019583;2:0.42254726699;3:0.472729926487;4:0.388391011744;5:0.321101903799;6:0.269805276947;7:0.233447234747;8:0.190772213226;9:0.179319324411;10:0.172529011546;11:0.169708434265;12:0.175231969028;13:0.184123787927;14:0.198190274752;15:0.219020099608;0.0
