Comm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Polarity,0.0 (218),0.0 (118),0.0 (841),0.0 (95),0.0 (115),0.0 (72),0.0 (240),0.0 (143),0.0 (91),0.0 (91),0.0784092647778 (115),0.0 (133),0.0 (117),0.0 (77),0.0 (172)
PrimarySent,0.0 (218),0.0 (118),0.145057945578 (841),0.851942597062 (95),1.90895078749 (115),1.22710632967 (72),0.0385371808879 (240),1.53427969215 (143),2.34438900301 (91),2.50789231306 (91),2.60593256703 (115),0.85765252955 (133),0.71582593106 (117),0.291818256599 (77),0.0 (172)
Topic 1,0 (0),0 (0),0.096960086457 (836),0 (0),0.0 (1),0.918295834054 (1),1.0 (1),0 (0),1.78415912785 (6),0.814227110987 (36),1.0 (2),1.54025134517 (17),0 (0),0.721928094887 (4),0.0 (1)
Topic 2,0.0 (218),0 (0),1.5 (4),0.0 (18),1.42197255508 (62),0.725289713913 (53),0 (0),0.0 (143),1.14883485428 (10),0.721928094887 (14),1.86359653833 (24),0.677798429385 (92),0.747971379545 (63),0 (0),0 (0)
Topic 3,0 (0),0.0 (118),0.0 (1),0.267799849168 (77),1.61916791578 (52),0.818095992971 (18),0.0692911324648 (239),0 (0),2.06277439016 (75),1.3141307946 (41),1.49965635792 (89),0.228538143954 (24),1.48131448074 (54),0.0 (73),0.0 (171)
